"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorJaccard record1Value","[0] PlayerNameComparatorJaccard record2Value","[0] PlayerNameComparatorJaccard record1PreprocessedValue","[0] PlayerNameComparatorJaccard record2PreprocessedValue","[0] PlayerNameComparatorJaccard similarity","[0] PlayerNameComparatorJaccard postproccesedSimilarity","[1] PlayerBirthdateComparator record1Value","[1] PlayerBirthdateComparator record2Value","[1] PlayerBirthdateComparator record1PreprocessedValue","[1] PlayerBirthdateComparator record2PreprocessedValue","[1] PlayerBirthdateComparator similarity","[1] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","tm_6111","fm_15033","0.0",,"Patric","Fernando Andrade","Patric","Fernando Andrade","0.0","0.0","1993-04-17T00:00","1993-01-08T00:00","1993-04-17T00:00","1993-01-08T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10050","fm_18231","0.0",,"Adam Wharton","Iván Benito","Adam Wharton","Iván Benito","0.0","0.0","2004-06-02T00:00","2004-03-27T00:00","2004-06-02T00:00","2004-03-27T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_2480","fm_1616","0.0",,"Bernard Mensah","Nick DePuy","Bernard Mensah","Nick DePuy","0.0","0.0","1994-10-17T00:00","1994-11-13T00:00","1994-10-17T00:00","1994-11-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4277","fm_14557","0.0",,"Isaac Nuhu","Benoît Badiashile","Isaac Nuhu","Benoît Badiashile","0.0","0.0","2001-09-30T00:00","2001-03-26T00:00","2001-09-30T00:00","2001-03-26T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4664","fm_16004","0.0",,"Bruno Paz","Javi Alonso","Bruno Paz","Javi Alonso","0.0","0.0","1998-04-23T00:00","1998-08-01T00:00","1998-04-23T00:00","1998-08-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9964","fm_13598","0.0",,"Rav van den Berg","Kobi Brooks","Rav van den Berg","Kobi Brooks","0.0","0.0","2004-07-07T00:00","2004-10-12T00:00","2004-07-07T00:00","2004-10-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5309","fm_3131","0.0",,"Bruno Wilson","Kamer Krasniqi","Bruno Wilson","Kamer Krasniqi","0.0","0.0","1996-12-27T00:00","1996-01-11T00:00","1996-12-27T00:00","1996-01-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5733","fm_17134","0.0",,"Moïse Sahi Dion","Sadiq Abdulfatai","Moïse Sahi Dion","Sadiq Abdulfatai","0.0","0.0","2001-12-20T00:00","2001-03-12T00:00","2001-12-20T00:00","2001-03-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6124","fm_15045","0.0",,"Daichi Kamada","Xavi Quintillà","Daichi Kamada","Xavi Quintillà","0.0","0.0","1996-08-05T00:00","1996-08-23T00:00","1996-08-05T00:00","1996-08-23T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10767","fm_3928","0.0",,"Semih Sahin","Metehan Güçlü","Semih Sahin","Metehan Güçlü","0.0","0.0","1999-12-22T00:00","1999-04-02T00:00","1999-12-22T00:00","1999-04-02T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5457","fm_14322","0.0",,"Gustavo Henrique","Diogo Costa","Gustavo Henrique","Diogo Costa","0.0","0.0","1999-05-24T00:00","1999-09-19T00:00","1999-05-24T00:00","1999-09-19T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7976","fm_14025","0.0",,"Leon Opitz","Joe Duncan","Leon Opitz","Joe Duncan","0.0","0.0","2005-04-11T00:00","2005-10-07T00:00","2005-04-11T00:00","2005-10-07T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8223","fm_13276","0.0",,"Owen Gene","Adian Manning","Owen Gene","Adian Manning","0.0","0.0","2003-03-19T00:00","2003-10-01T00:00","2003-03-19T00:00","2003-10-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10716","fm_12175","0.0",,"Ahmet Arslan","Duane Holmes","Ahmet Arslan","Duane Holmes","0.0","0.0","1994-03-30T00:00","1994-11-06T00:00","1994-03-30T00:00","1994-11-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_8915","fm_15019","0.0",,"Mario Gargiulo","Sergi Palencia","Mario Gargiulo","Sergi Palencia","0.0","0.0","1996-03-26T00:00","1996-03-23T00:00","1996-03-26T00:00","1996-03-23T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_5983","fm_2357","0.0",,"Pierre Kalulu","Josha Vagnoman","Pierre Kalulu","Josha Vagnoman","0.0","0.0","2000-06-05T00:00","2000-12-11T00:00","2000-06-05T00:00","2000-12-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3846","fm_16600","0.0",,"Jannes Wieckhoff","Amadou Dia N'Diaye","Jannes Wieckhoff","Amadou Dia N'Diaye","0.0","0.0","2000-08-02T00:00","2000-01-02T00:00","2000-08-02T00:00","2000-01-02T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4059","fm_11806","0.0",,"Laurent Henkinet","Stefan Ortega","Laurent Henkinet","Stefan Ortega","0.0","0.0","1992-09-14T00:00","1992-11-06T00:00","1992-09-14T00:00","1992-11-06T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_4513","fm_17324","0.0",,"Mohamed Hassan Fofana","Antoine Lepeltier","Mohamed Hassan Fofana","Antoine Lepeltier","0.0","0.0","2005-05-06T00:00","2005-10-05T00:00","2005-05-06T00:00","2005-10-05T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_1511","fm_10360","0.0",,"Mauricio Pineda","Tong Lei","Mauricio Pineda","Tong Lei","0.0","0.0","1997-10-17T00:00","1997-12-16T00:00","1997-10-17T00:00","1997-12-16T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_9559","fm_13197","0.0",,"Tiago Geralnik","Josh Hinds","Tiago Geralnik","Josh Hinds","0.0","0.0","2003-03-31T00:00","2003-03-29T00:00","2003-03-31T00:00","2003-03-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_7031","fm_12013","0.0",,"David Raya","Liam Lindsay","David Raya","Liam Lindsay","0.0","0.0","1995-09-15T00:00","1995-10-12T00:00","1995-09-15T00:00","1995-10-12T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_10161","fm_18338","0.0",,"Romain Esse","Marcos Aceituno","Romain Esse","Marcos Aceituno","0.0","0.0","2005-05-13T00:00","2005-05-25T00:00","2005-05-13T00:00","2005-05-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_3057","fm_14749","0.0",,"Mincheng Yuan","Yanis Rahmani","Mincheng Yuan","Yanis Rahmani","0.0","0.0","1995-08-08T00:00","1995-05-13T00:00","1995-08-08T00:00","1995-05-13T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6841","fm_14307","0.0",,"Jaume Costa","Islam Slimani","Jaume Costa","Islam Slimani","0.0","0.0","1988-03-18T00:00","1988-06-18T00:00","1988-03-18T00:00","1988-06-18T00:00","0.0","0.0"
"LinearCombinationMatchingRule","tm_6237","fm_1594","0.0",,"Armand Laurienté","Ethan Zubak","Armand Laurienté","Ethan Zubak","0.0","0.0","1998-12-04T00:00","1998-04-15T00:00","1998-12-04T00:00","1998-04-15T00:00","0.0","0.0"
