"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerBirthdateComparator record1Value","[0] PlayerBirthdateComparator record2Value","[0] PlayerBirthdateComparator record1PreprocessedValue","[0] PlayerBirthdateComparator record2PreprocessedValue","[0] PlayerBirthdateComparator similarity","[0] PlayerBirthdateComparator postproccesedSimilarity"
"LinearCombinationMatchingRule","eafc_9410","fm_17869","0.0",,"2001-03-28T00:00","2006-03-17T00:00","2001-03-28T00:00","2006-03-17T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_10803","fm_14665","0.0",,"1998-04-01T00:00","1995-03-02T00:00","1998-04-01T00:00","1995-03-02T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_8073","fm_1276","0.0",,"2001-04-02T00:00","1996-03-11T00:00","2001-04-02T00:00","1996-03-11T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_3814","0.0",,"1996-03-11T00:00","2005-03-25T00:00","1996-03-11T00:00","2005-03-25T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_16466","0.0",,"2000-02-08T00:00","2003-07-29T00:00","2000-02-08T00:00","2003-07-29T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9410","fm_6979","0.0",,"2001-03-28T00:00","1998-06-28T00:00","2001-03-28T00:00","1998-06-28T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_9484","fm_16225","0.6666666666666667",,"2000-02-08T00:00","2001-03-28T00:00","2000-02-08T00:00","2001-03-28T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_5908","fm_16808","0.0",,"1996-05-01T00:00","2003-09-04T00:00","1996-05-01T00:00","2003-09-04T00:00","0.0","0.0"
"LinearCombinationMatchingRule","eafc_4686","fm_15405","0.6666666666666667",,"1996-03-11T00:00","1995-01-10T00:00","1996-03-11T00:00","1995-01-10T00:00","0.6666666666666667","0.6666666666666667"
"LinearCombinationMatchingRule","eafc_8073","fm_12906","0.0",,"2001-04-02T00:00","2006-04-22T00:00","2001-04-02T00:00","2006-04-22T00:00","0.0","0.0"
